id,active,name,type,application,amount,times_to_run,limit_adjustments,period_days,max_amount_per_period,taxes,roles,data_service,upload_in_kilobits,download_in_kilobits,technology_code,usage_based_billing_policy_id,unit_quantity_in_gigabytes,general_ledger_code_id,tax_exemption_amount,voice_service,unlimited_local_minutes,unlimited_long_distance_minutes,local_minutes,local_minutes_amount,long_distance_minutes,long_distance_minutes_amount,first_interval_in_seconds,sub_interval_in_seconds,local_prefixes,inbound_toll_free_rate,billing_frequency_in_months,account_groups
117,True,Gigabit1- (B2B) Rush Fee 1-3 days,one time,debit,99,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
118,True,Radio ePMP,one time,debit,139,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
119,True,Gigabit1 Installation Fee - 2 Year Term (Free Install Offer),one time,credit,199,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
120,True,Relocation Fee- 1 Year Contract Renewal,one time,debit,200,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
121,True,Adjustment,one time,debit,208,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
122,True,Lines Activation & Portability,one time,debit,14,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
125,True,AERONET- 2 Years Contract Installation Fee,one time,debit,199,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
127,True,Router Setup & Configuration,one time,debit,49.95,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
130,True,Gigabit1 Residential Installation Fee - 1 Year Term,one time,debit,99.95,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
131,True,AERONET- 3 Years Contract Installation Fee,one time,debit,99,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
133,True,-33% Off February Offer 2017,recurring,credit,50,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
134,True,AERONET- 2 Years Contract Installation Fee (B2B),one time,debit,199,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
135,True,Router Setup & Configuration (B2B),one time,debit,24.98,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
136,True,Gigabit1 Installation Fee - 3 Year Term,one time,debit,0,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
137,True,Gigabit1 Residential Rush Fee: 1-3 Days,one time,debit,99,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
138,True,Gigabit1 Residential Installation Fee - 2 Years Term,one time,debit,59.95,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
139,True,ATA Innomedia Converter Setup,one time,debit,49.95,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
144,True,SIP Trunk,recurring,debit,29.95,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
145,True,Call Appearance,recurring,debit,30.95,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
146,True,25% Off Customer Discount,recurring,credit,24.75,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
147,True,WN- 3 Years Contract Installation Fee,one time,debit,99.95,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
148,True,Special Price- AERO DIA 5Mbps,recurring,credit,120,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
149,True,2015 Giga1 Business  10/1 Mbps,recurring,debit,69,0,False,0,0,[],[],True,1000,10000,70,,,,0,False,False,False,,0,,0,,,[],0,1,[]
150,True,Double Upload to 14/4,recurring,debit,14.95,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
151,True,Carrier WAN 3Mbps,recurring,debit,249.95,0,False,0,0,[],[],True,3000,3000,70,,,,0,False,False,False,,0,,0,,,[],0,1,[]
152,True,Installation Fee- Special Event- Term (2) Days,one time,debit,499.95,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
153,True,Relocation Fee- 2 Years Contract Renewal,one time,debit,100,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
154,True,Relocation Fee (B2B)- 3 Years Contract Renewal,one time,debit,100,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
156,True,Installation Fee - 2 Year Term (Free Install Offer),one time,credit,199,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
157,True,First Free Month - 2014 AERO BDSL 14Mbps/2Mbps,expiring,credit,99,1,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
158,True,Relocation Fee (B2B)- No Contract Renewal,one time,debit,300,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
159,True,First Free Month - 2015 Giga1 Business 25/5Mbps,expiring,credit,129,1,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
160,True,AERONET- Rush Fee (B2B)- Expedite Installation: 3 Days,one time,debit,100,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
161,True,AERONET- 1 Year Contract Installation Fee (B2B),one time,debit,299,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
162,True,Double Upload to 25/10,recurring,debit,24.95,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
163,True,VPN Configuration (3 users),one time,debit,150,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
164,True,Cancellation Requested Prior Contract Exp. Date October 2017 (6 Months),one time,debit,354,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
165,True,First Free Month - 2015 Giga1 Residential 25 Mbps,expiring,credit,39.95,1,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
166,True,First Free Month - 2015 Giga1 Residential 50 Mbps,expiring,credit,49.95,1,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
167,True,First Free Month - 2015 Giga1 Business 50/10Mbps,expiring,credit,149,1,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
168,True,Relocation Fee Giga 1 Residential,one time,debit,150,0,False,0,0,[],[],False,0,0,0,,,,0,False,False,False,,0,,0,,,[],0,1,[]
